sitename,TA_F,TA_F_DAY,TA_F_NIGHT,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,GPP_NT_VUT_REF,wscal,fpar
AU-ASM,32.948,34.49,30.966,322.128,420.88,35.408,93.72,0,1.396,0.69598626,0.2037606090307236,0.1009685326604826
AU-ASM,33.244,35.209,30.717,354.49300000000005,405.205,39.238,93.953,0,3.011,1.2730780000000002,0.19541488587856293,0.10406530179431876
AU-ASM,31.208,32.76,29.213,362.379,379.749,37.171,94.125,0,4.06,1.0713418,0.18764203786849976,0.10715258109860784
AU-ASM,30.109,31.701,28.061,302.323,396.657,33.081,93.969,0,3.585,0.2811936,0.1803608685731888,0.11023052336026085
AU-ASM,23.877,23.795,23.982,104.451,399.343,11.775,94.019,22.933000000000003,2.983,0.12644226,0.28054583072662354,0.11329928136542268
AU-ASM,21.811,21.938,21.648000000000003,28.552,423.18,2.8280000000000003,93.78,58.44300000000001,4.373,0.4753794859999999,0.5412579178810121,0.11635900790100508
AU-ASM,22.488000000000003,22.706,22.209,79.652,427.073,2.737,93.478,47.101000000000006,4.008,0.6679260599999999,0.7383805513381958,0.11940985575366383
AU-ASM,24.386,25.202,23.337,232.08,416.731,5.207999999999998,93.67,12.827,2.707,1.0694161999999998,0.76962810754776,0.12245197771005488
AU-ASM,23.443,23.913,22.838,166.612,427.267,3.462,94.026,20.297,2.259,2.2414419999999997,0.8353227972984314,0.12548552655683395
AU-ASM,23.032,23.4,22.559,169.054,419.627,3.999,94.149,19.734,1.895,2.38134,0.897464394569397,0.12850983312437184
AU-ASM,25.207,26.469,23.584,271.367,401.437,9.654,93.988,0.141,2.103,3.1582622,0.8663594722747803,0.13152423639306035
AU-ASM,25.524,27.127,23.463,299.122,396.435,12.345,93.969,0,1.339,2.0451612,0.8346883654594421,0.13452890137596707
AU-ASM,25.202,26.386,23.679,299.278,392.901,12.689,94.242,0,2.446,2.9075392000000004,0.8037494421005249,0.13752399308590835
AU-ASM,25.748,27.775,23.141,349.783,373.098,17.352,94.334,0,2.5,2.2211728,0.7730209827423096,0.14050967653570037
AU-ASM,26.226,28.554,23.232,335.279,375.366,18.735,94.223,0,1.622,1.7411274000000003,0.742823600769043,0.14348611673815936
AU-ASM,27.583,30.149,24.283,362.67,365.161,23.182,94.128,0,1.4380000000000002,0.9596974,0.7130972743034363,0.1464534787063475
AU-ASM,27.335,29.39,24.69400000000001,368.286,344.35,27.496,94.226,0,3.5380000000000003,0.576553,0.6843774914741516,0.14941192745258855
AU-ASM,25.308000000000003,26.984,23.153,371.456,330.516,24.43,94.327,0,3.241,0.3950716,0.6569594740867615,0.15236162798994538
AU-ASM,24.779,27.277,21.568,371.016,328.251,23.684,94.343,0,2.299,0.4742982000000001,0.6303474307060242,0.15530274533123414
AU-ASM,24.775,27.727,20.979,373.236,323.257,24.101,94.239,0,1.526,0.3852862,0.6045435070991516,0.1582354444892713
