"sitename","date","TA_F","TA_F_DAY","TA_F_NIGHT","SW_IN_F","LW_IN_F","VPD_F","PA_F","P_F","WS_F","GPP_NT_VUT_REF","wscal","fpar","classid","koeppen_code","igbp_land_use","plant_functional_type"
"CH-Fru",2005-01-01,1.404,2.537,0.724,40.761,290.608,0.968,86.182,0.258,0.639,0.6150596,1,0.214303039093065,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-02,1.404,2.931,0.487,27.629,301.433,0.806,86.057,4.165,1.731,0.76142928,1,0.21006299353171,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-03,-1.875,-0.726,-2.565,49.113,268.093,0.675,86.707,0.648,1.75,0.0517906,1,0.205966808287402,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-04,1.044,2.798,-0.008,65.323,245.498,1.71,86.723,0,0.419,0.8078006,1,0.202020508071916,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-05,1.633,2.831,0.914,58.718,250.332,2.285,86.564,0,0.613,0.7187078,1,0.243730694820743,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-06,2.058,2.85,1.583,28.134,298.768,0.87,86.736,3.057,1.462,0.94993216,1,0.234288892585067,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-07,2.835,4.843,1.63,66.041,245.409,1.905,86.951,0.009,1.01,1.318794,1,0.224821564297096,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-08,4.939,6.864,3.785,62.124,260.669,2.747,86.48,0,1.505,0.52800776,0.999978721141815,0.21533979226283,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-09,3.549,4.636,2.896,30.072,296.137,1.716,86.553,0,0.68,0.54181272,0.999982595443726,0.20585465878827,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-10,3.142,5.281,1.86,67.531,254.08,1.846,86.543,0,1.457,0.73749792,0.999922156333923,0.196377246178632,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-11,1.622,3.904,0.253,65.336,252.138,1.862,86.493,0,0.635,1.318794,0.999861598014832,0.186918636741492,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-12,1.193,3.143,0.023,55.368,281.025,2.053,86.278,0.429,0.703,0.39411726,1,0.177489912782062,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-13,0.673,1.547,0.15,56.096,280.853,0.794,86.271,1.689,1.314,0.1325296,1,0.168102156606345,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-14,-0.65,0.732,-1.479,73.297,237.945,1.25,86.299,0,0.792,0.05912716,0.999912917613983,0.158766450520341,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-15,-1.785,1.359,-3.672,76.697,237.555,1.779,86.158,0,0.895,0.2847734,0.999770700931549,0.149493876830052,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-16,-1.287,1.927,-3.216,76.704,239.685,2.061,86.252,0,1.093,0.20750036,0.999573469161987,0.140295517840719,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-17,-1.263,1.732,-3.06,76.968,241.965,1.967,85.989,0,1.063,0.20750036,0.999345541000366,0.131182455859871,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-18,-1.803,-1.061,-2.249,20.104,280.317,1.193,84.571,7.44,2.171,0.4263574,1,0.122165773192741,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-19,-3.684,-2.24,-4.629,55.634,265.11,0.559,84.82,1.152,1.556,0.20009446,1,0.113256552145332,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-20,-0.732,0.61,-1.611,34.4,293.228,0.638,85.256,2.344,1.534,0.2013969,1,0.104465875023645,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-21,0.893,1.961,0.194,33.706,304.094,0.485,84.818,10.876,3.119,0.9797446,1,0.0958048241329668,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-22,-1.493,-0.719,-2.001,62.37,277.04,0.621,85.088,4.045,1.919,0.04078154,1,0.0872844817807381,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-23,-3.638,-2.088,-4.653,32.112,276.287,0.622,85.051,2.399,1.307,0.320730947011,1,0.0789159302722354,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
"CH-Fru",2005-01-24,-5.738,-4.484,-6.56,48.632,268.102,0.485,84.649,4.067,2.002,-0.41500708,1,0.0707102519134599,"GRA","Cfb","Cropland/Natural Vegetation Mosaic","Grass"
