sitename,classid,koeppen_code,igbp_land_use,plant_functional_type
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
AU-DaP,GRA,Aw,Savannas,Grass
